ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,7,61044400,11,245,SC,4,817700,102,26,1105,Exportação
2020,11,42022210,11,493,SP,4,817600,25,14,598,Exportação
2020,4,9011190,10,476,SP,0,812051,6,6,43,Exportação
2020,12,44092900,16,275,SP,0,817800,4,3185,8366,Exportação
2020,10,94019090,10,249,SP,4,817700,38,38,39177,Exportação
2020,12,38249989,10,399,SP,1,817800,5408,5408,54404,Exportação
2020,11,2031900,10,580,BA,0,517800,10,10,21,Exportação
2020,3,48114110,10,586,PR,7,917500,790,790,5682,Exportação
2020,5,85361000,11,240,SP,1,817800,360,0,329,Exportação
2020,3,7070000,10,580,ES,0,710251,10,10,5,Exportação
2020,8,7041000,10,351,SP,0,917800,20,26,50,Exportação
2020,3,84833029,11,249,SP,1,817800,298226,16555,328176,Exportação
2020,5,32141010,10,845,SP,4,817700,7,7,411,Exportação
2020,12,16029000,10,580,BA,0,517800,6,6,19,Exportação
2020,3,83099000,10,386,SP,4,817600,0,0,2,Exportação
2020,11,40082100,10,845,RS,7,1010351,13,13,337,Exportação
2020,5,85176254,11,580,SP,12,817800,3,3,80,Exportação
2020,10,63025100,10,845,SC,7,1017701,503,503,4422,Exportação
2020,11,21032010,10,97,SC,7,147600,5735,5735,6421,Exportação
2020,12,4072100,20,351,RJ,0,717600,60,48,89,Exportação
2020,2,17011400,21,365,MG,1,817800,19093,19092212,6005721,Exportação
2020,9,30061010,10,249,SP,4,817600,1416,1416,331263,Exportação
2020,6,22021000,17,476,ES,0,727600,1844,612,1378,Exportação
2020,3,84131100,11,589,SP,4,817700,3,345,18010,Exportação
2020,4,39095011,10,169,SP,1,817800,29250,29250,85538,Exportação
2020,12,87083019,11,63,SP,7,1017503,3907,7633,68149,Exportação
2020,11,2071400,10,17,PR,0,917800,51000,51000,44246,Exportação
2020,1,61046300,11,97,SC,7,147600,478,82,5113,Exportação
2020,9,84818092,11,586,SP,7,917500,2632,946,21779,Exportação
2020,9,38220090,10,149,SP,4,817600,159,159,46050,Exportação
2020,7,85167990,11,589,SP,1,817800,32,21,447,Exportação
2020,7,9012100,10,361,MA,0,317903,1,1,30,Exportação
2020,4,2071200,10,154,RS,0,1017700,133673,133673,153179,Exportação
2020,2,29181921,10,97,SP,4,817600,0,0,198,Exportação
